id_servicio,nombre_servicio,categoria_servicio
1,Acceso a la plataforma TEC Digital,Seguridad y Accesos
2,Activar cuentas de usuario,Herramientas y Soporte
3,Actualizar cursos a estudiantes,Gestión Académica
4,Actualizar miembros de comunidades,Herramientas y Soporte
5,Agregar/cambiar asociación de estudiante a curso,Gestión Académica
6,Agregar/cambiar asociación de profesor a curso,Gestión Académica
7,Agregar/cambiar asociación de usuario a comunidad,Herramientas y Soporte
8,Agregar/cambiar asociación estudiante a curso Colegio Científico,Gestión Académica
9,Agregar/cambiar asociación estudiante a curso FundaTEC,Gestión Académica
10,Asignación de permisos especiales,Herramientas y Soporte
11,Atención personalizada a usuarios,Herramientas y Soporte
12,Cambiar información personal,Herramientas y Soporte
13,Cambio de contraseña,Seguridad y Accesos
14,Cambio de contraseña FundaTEC,Seguridad y Accesos
15,Carpeta Tareas,Herramientas y Soporte
16,Carpetas/Documentos,Herramientas y Soporte
17,Configuración de Comunidades/Cursos,Herramientas y Soporte
18,Control de plagio,Herramientas y Soporte
19,Copiado de contenidos,Herramientas y Soporte
20,Creación curso Colegio Científico,Gestión Académica
21,Creación cursos FundaTEC,Gestión Académica
22,Creación de comunidades,Herramientas y Soporte
23,Creación de curso,Gestión Académica
24,Creación de usuarios,Herramientas y Soporte
25,Creación de usuarios FundaTEC,Herramientas y Soporte
26,Envío de comunicados a comunidades,Herramientas y Soporte
27,Envío de comunicados a lista seleccionada,Herramientas y Soporte
28,Evaluaciones,Herramientas y Soporte
29,Expediente estudiantil,Herramientas y Soporte
30,GAAP,Herramientas y Soporte
31,Gestor de Atributos,Herramientas y Soporte
32,Gestor de Consultas,Herramientas y Soporte
33,Gestor de inscripción,Herramientas y Soporte
34,Inclusiones,Herramientas y Soporte
35,No especificado,Herramientas y Soporte
36,Planes de Trabajo,Gestión Académica
37,Prematrícula,Herramientas y Soporte
38,Problemas con correos,Herramientas y Soporte
39,Rúbricas,Herramientas y Soporte
40,Solicitud de capacitación,Herramientas y Soporte
41,Solicitud de información de la institución,Herramientas y Soporte
42,Solicitud de información de la plataforma,Herramientas y Soporte
