RowNo,dia,mes,anio,hora,minutos,Fecha_completa,Nombre_mes,Trimestre,Semestre_academico,Es_Periodo_Matricula,Es_Fin_Semestre
1,19,1,2026,9,7,19-Jan-2026,Enero,Trimestre I,Verano,0,0
2,19,1,2026,9,14,19-Jan-2026,Enero,Trimestre I,Verano,0,0
3,19,1,2026,9,16,19-Jan-2026,Enero,Trimestre I,Verano,0,0
4,19,1,2026,10,0,19-Jan-2026,Enero,Trimestre I,Verano,0,0
5,19,1,2026,10,1,19-Jan-2026,Enero,Trimestre I,Verano,0,0
6,19,1,2026,10,4,19-Jan-2026,Enero,Trimestre I,Verano,0,0
7,19,1,2026,10,10,19-Jan-2026,Enero,Trimestre I,Verano,0,0
8,19,1,2026,10,39,19-Jan-2026,Enero,Trimestre I,Verano,0,0
9,19,1,2026,10,45,19-Jan-2026,Enero,Trimestre I,Verano,0,0
10,19,1,2026,10,59,19-Jan-2026,Enero,Trimestre I,Verano,0,0
11,19,1,2026,11,6,19-Jan-2026,Enero,Trimestre I,Verano,0,0
12,19,1,2026,11,9,19-Jan-2026,Enero,Trimestre I,Verano,0,0
13,19,1,2026,11,11,19-Jan-2026,Enero,Trimestre I,Verano,0,0
14,19,1,2026,11,17,19-Jan-2026,Enero,Trimestre I,Verano,0,0
15,19,1,2026,11,25,19-Jan-2026,Enero,Trimestre I,Verano,0,0
16,19,1,2026,11,26,19-Jan-2026,Enero,Trimestre I,Verano,0,0
17,19,1,2026,11,29,19-Jan-2026,Enero,Trimestre I,Verano,0,0
18,19,1,2026,11,32,19-Jan-2026,Enero,Trimestre I,Verano,0,0
19,19,1,2026,11,34,19-Jan-2026,Enero,Trimestre I,Verano,0,0
20,19,1,2026,11,39,19-Jan-2026,Enero,Trimestre I,Verano,0,0
21,19,1,2026,11,42,19-Jan-2026,Enero,Trimestre I,Verano,0,0
22,19,1,2026,11,43,19-Jan-2026,Enero,Trimestre I,Verano,0,0
23,19,1,2026,11,46,19-Jan-2026,Enero,Trimestre I,Verano,0,0
24,19,1,2026,11,48,19-Jan-2026,Enero,Trimestre I,Verano,0,0
25,19,1,2026,11,50,19-Jan-2026,Enero,Trimestre I,Verano,0,0
26,19,1,2026,11,59,19-Jan-2026,Enero,Trimestre I,Verano,0,0
27,19,1,2026,13,14,19-Jan-2026,Enero,Trimestre I,Verano,0,0
28,19,1,2026,13,31,19-Jan-2026,Enero,Trimestre I,Verano,0,0
29,19,1,2026,13,33,19-Jan-2026,Enero,Trimestre I,Verano,0,0
30,19,1,2026,13,34,19-Jan-2026,Enero,Trimestre I,Verano,0,0
31,19,1,2026,13,35,19-Jan-2026,Enero,Trimestre I,Verano,0,0
32,19,1,2026,13,41,19-Jan-2026,Enero,Trimestre I,Verano,0,0
33,19,1,2026,13,42,19-Jan-2026,Enero,Trimestre I,Verano,0,0
34,19,1,2026,13,43,19-Jan-2026,Enero,Trimestre I,Verano,0,0
35,19,1,2026,13,55,19-Jan-2026,Enero,Trimestre I,Verano,0,0
36,19,1,2026,14,6,19-Jan-2026,Enero,Trimestre I,Verano,0,0
37,19,1,2026,14,12,19-Jan-2026,Enero,Trimestre I,Verano,0,0
38,19,1,2026,14,57,19-Jan-2026,Enero,Trimestre I,Verano,0,0
39,19,1,2026,14,59,19-Jan-2026,Enero,Trimestre I,Verano,0,0
40,19,1,2026,16,39,19-Jan-2026,Enero,Trimestre I,Verano,0,0
41,20,1,2026,7,31,20-Jan-2026,Enero,Trimestre I,Verano,0,0
42,20,1,2026,7,32,20-Jan-2026,Enero,Trimestre I,Verano,0,0
43,20,1,2026,7,36,20-Jan-2026,Enero,Trimestre I,Verano,0,0
44,20,1,2026,8,0,20-Jan-2026,Enero,Trimestre I,Verano,0,0
45,20,1,2026,9,47,20-Jan-2026,Enero,Trimestre I,Verano,0,0
46,20,1,2026,9,52,20-Jan-2026,Enero,Trimestre I,Verano,0,0
47,20,1,2026,13,25,20-Jan-2026,Enero,Trimestre I,Verano,0,0
48,20,1,2026,14,4,20-Jan-2026,Enero,Trimestre I,Verano,0,0
49,20,1,2026,14,40,20-Jan-2026,Enero,Trimestre I,Verano,0,0
50,20,1,2026,15,57,20-Jan-2026,Enero,Trimestre I,Verano,0,0
51,20,1,2026,16,21,20-Jan-2026,Enero,Trimestre I,Verano,0,0
52,21,1,2026,7,45,21-Jan-2026,Enero,Trimestre I,Verano,0,0
53,21,1,2026,7,46,21-Jan-2026,Enero,Trimestre I,Verano,0,0
54,21,1,2026,7,48,21-Jan-2026,Enero,Trimestre I,Verano,0,0
55,21,1,2026,7,50,21-Jan-2026,Enero,Trimestre I,Verano,0,0
56,21,1,2026,7,51,21-Jan-2026,Enero,Trimestre I,Verano,0,0
57,21,1,2026,8,53,21-Jan-2026,Enero,Trimestre I,Verano,0,0
58,21,1,2026,9,46,21-Jan-2026,Enero,Trimestre I,Verano,0,0
59,21,1,2026,11,27,21-Jan-2026,Enero,Trimestre I,Verano,0,0
60,21,1,2026,13,11,21-Jan-2026,Enero,Trimestre I,Verano,0,0
61,21,1,2026,13,12,21-Jan-2026,Enero,Trimestre I,Verano,0,0
62,21,1,2026,15,6,21-Jan-2026,Enero,Trimestre I,Verano,0,0
63,21,1,2026,16,37,21-Jan-2026,Enero,Trimestre I,Verano,0,0
64,22,1,2026,11,7,22-Jan-2026,Enero,Trimestre I,Verano,0,0
65,22,1,2026,11,21,22-Jan-2026,Enero,Trimestre I,Verano,0,0
66,22,1,2026,11,25,22-Jan-2026,Enero,Trimestre I,Verano,0,0
67,22,1,2026,11,29,22-Jan-2026,Enero,Trimestre I,Verano,0,0
68,22,1,2026,11,31,22-Jan-2026,Enero,Trimestre I,Verano,0,0
69,22,1,2026,11,41,22-Jan-2026,Enero,Trimestre I,Verano,0,0
70,22,1,2026,11,57,22-Jan-2026,Enero,Trimestre I,Verano,0,0
