id_ticket,id_dim_estado,Asunto,id_dim_usuario,id_dim_agente,id_dim_servicio,id_dim_canal,id_dim_tipo,id_dim_prioridad,id_dim_tiempo_solicitud,id_dim_tiempo_resuelto,tiempo_resolucion_horas,cumple_sla
72543,4,Solicitud de cambio de curso por Ampliación de Jornada en plan de trabajo Pro. Néstor Morales Rodríguez,1,1,36,2,3,3,1133,1232,335.60,0
72616,4,Arreglo de nombre,2,1,12,2,3,3,1207,1216,91.33,0
72620,4,RV: Falla en acceso a curso en Tec digital,5,1,11,2,3,3,2368,1216,71.35,0
72621,4,Consulta sobre cuenta de técnico digital,5,1,29,2,3,3,2368,1216,64.70,0
72622,4,Consulta sobre visibilidad de rúbrica en asignación “Proyecto parte eléctrica”,5,1,39,2,3,3,2368,1216,63.63,0
72623,4,Solicitud de reporte de carga de asignación – Contabilidad II,5,1,28,2,3,3,2368,1216,64.10,0
72627,4,Problema de Ingreso TEC Digital,8,1,1,2,3,3,2371,1216,16.97,0
72628,4,Acceso al Tec Digital,10,1,1,2,3,3,2371,1216,16.67,0
72629,4,Problema al descargar archivo .,5,1,28,2,3,3,2371,1216,12.87,0
72631,4,incluir estudiante,5,1,5,2,3,3,1216,1216,0.77,1
72632,4,correo incorrecto,5,1,12,2,3,3,1216,1216,3.80,1
72633,4,Invitación a reunión informativa sobre becas para estudiar en Estados Unidos,1,1,27,2,3,3,1216,1216,0.98,1
72634,4,Solicitud de divulgación Invitación a reunión informativa sobre becas para estudiar en Estados Unidos,1,1,27,2,3,3,1216,1216,0.42,1
72635,4,"Fwd: Reactivación de estudiante KEREN MONTERO VARGAS - correo, Teams y Tec Digital",5,1,2,2,3,3,1216,1253,44.90,0
72637,4,Solicitud 72622,5,1,39,2,3,3,1216,1216,0.05,1
72639,4,Error de acceso OneDrive curso seguridad,5,3,11,2,3,3,1216,1216,0.70,1
72641,4,Solicitud divulgación información,1,1,27,2,3,3,1216,1232,18.70,0
72642,4,Por favor habilitar II Cuatrimestre 2026 Maestría en Calidad,1,1,6,2,3,3,1216,1232,19.42,0
72643,4,RV: Correccion del nombre en la plataforma TEC Digital y Office,5,1,12,2,3,3,1216,1216,0.28,1
72644,4,Cuenta perdida,5,3,11,2,3,3,1216,1216,0.38,1
72647,4,Apertura curso Power BI en el TEC-Digital,2,3,21,2,3,3,1216,1232,14.72,0
72649,4,Cobro curso de excel,7,1,11,2,3,3,1216,1232,15.83,0
72650,4,Acceso a Tec-Digital,10,3,2,2,3,3,1216,1232,14.77,0
72651,4,Ayuda cuenta bloqueada,5,3,11,2,3,3,1216,1232,13.77,0
72652,4,No hay cursos en la plataforma digital,7,3,11,3,3,3,1216,1232,13.60,0
72654,4,Solicitud de restauración de miembros de curso,10,3,5,2,3,3,1232,1232,0.75,1
72655,4,Corrección de horario,2,3,11,2,3,3,1232,1232,1.08,1
72656,4,Consulta acceso,5,1,1,2,3,3,1232,1232,0.07,1
72657,4,Ayuda cuenta TEC Digital,1,1,2,2,3,3,1232,1232,0.13,1
72658,4,Consulta,7,1,11,2,3,3,1232,1232,0.12,1
72659,4,Cuenta bloqueada,8,1,1,2,3,3,1232,1232,0.90,1
72660,4,Cambio de horario,2,1,17,2,3,3,1232,1232,0.17,1
72661,4,Consulta,10,2,28,2,3,3,1232,1253,17.72,0
72662,4,RE: Incorporación a Equipo Teams Curso Maestría en Cadena de Abastecimiento,10,1,6,2,3,3,1232,1232,0.83,1
72663,4,Solicitud de traslado de curso | SE1103 Danza Grupo 40,1,2,6,2,3,3,1232,1253,16.10,0
72665,4,RE: Solicitud de traslado de curso | SE1103 Danza Grupo 40,1,1,6,2,3,3,1232,1232,0.08,1
72666,4,Re: Incorporación a Equipo Teams Curso Maestría en Cadena de Abastecimiento,1,1,6,2,3,3,1232,1232,0.05,1
72667,4,"Por favor brindar apoyo a profesora no observa el grupo en el tecdigital, gracias",1,2,6,2,3,3,1232,1253,15.80,0
72668,4,Correo inactivo,7,1,1,2,3,3,1232,1253,12.43,0
72669,4,Re: Solicitud de traslado de curso | SE1103 Danza Grupo 40,10,1,6,2,3,3,1232,1253,8.30,0
72671,4,Cambio de letra,2,1,11,2,3,3,1253,1253,0.25,1
72640,3,Solicitud de validación de entrega en TEC Digital,5,1,28,2,3,3,1216,,,
72638,2,Corrección nombre TEC digital,5,4,35,4,2,2,1216,,,
72672,2,Solicitud de restablecimiento de contraseña de cuenta Estudiantec,9,4,35,2,2,2,1253,,,
71034,1,Solicitud de colaboración para la elección de los representantes ante el Consejo Institucional 2026,1,1,11,2,3,3,1259,775,2298.32,0
71090,1,Fw: Consulta de contraseña de TEC DIGITAL,5,1,1,2,3,3,1260,1,838.82,0
71093,1,Solicitud para publicar Noticia requerimiento PERSONAS TUTORAS DOP I-2026,1,1,26,2,3,1,1260,121,1055.63,0
71107,1,Solicitud de ingreso por primera vez a Turnitin,10,1,18,2,3,3,1262,1,816.32,0
71151,1,RE: Solicitud,1,1,11,2,3,3,1263,104,964.33,0
71169,1,Revisión lista estudiantes,5,1,5,2,3,3,1264,1,672.02,0
71179,1,Re: Solicitud,8,1,11,2,3,3,1265,1,508.88,0
71180,1,Consulta,9,4,35,4,2,4,1265,1,504.68,0
71181,1,Permisos,9,4,35,4,2,4,1265,1,499.80,0
71183,1,acceso Tec Digital,10,4,35,2,2,1,1268,1,479.10,0
71189,1,Problemas con los datos de inicio de sesión de mi cuenta de Tec Digital,8,1,38,2,3,3,1269,41,426.28,0
71190,1,Autenticación,5,1,38,2,3,3,1270,1,386.95,0
71192,1,TEC digital,9,4,35,4,2,4,1270,1,383.07,0
71195,1,Urgente,2,1,1,2,3,3,1272,1,341.73,0
71196,1,Agregar cuentas como profesor asociado en cursos de Tec Digital - I Bimestre 2026,10,1,6,2,3,3,1272,1,339.23,0
71197,1,Problemas para entrar al TEC digital,5,1,1,2,3,3,1272,1,335.37,0
71198,1,Cambio de numero,5,1,42,2,3,3,1272,1,335.33,0
71199,1,Problemas con la cuenta estudiantil para ingresar a TecDigital,9,4,35,4,2,4,1272,1,334.15,0
71200,1,Error al ingresar a TEC Digital,8,1,1,2,3,3,1272,1,334.18,0
71201,1,acceso Tec Digital,10,4,35,2,2,4,1272,1,331.78,0
71203,1,Fw: TEC digital,9,4,35,4,2,4,1278,1,305.98,0
71205,1,Consulta problema con correo TEC,5,1,38,2,3,3,1279,1,290.42,0
71206,1,RV: acceso Tec Digital,2,1,21,2,3,3,1279,41,311.77,0
71208,1,Constancia de Estudio para Visa Americana,5,1,11,2,3,3,1281,1,259.28,0
71210,1,Corregir apellido en plataforma,7,1,12,2,3,3,1282,1,236.72,0
71213,1,Re: [Centro de Ayuda del TEC Digital] Re: Reporte de notas aprobadas,8,1,29,6,3,3,1283,1,172.07,0
71214,1,Acceso al TEC Digital,7,1,25,2,3,3,1283,1,165.55,0
71215,1,Solicitud de apoyo para ingresar a TEC DIGITAL,9,4,35,2,2,4,1283,1,164.43,0
71216,1,"Buenas tardes mi nombres es Matías Sibaja Solís, soy estudiante de nuevo ingreso y estaba intentando ingresar al Tec digital y no me deja y cambie la contraseña y tampoco me deja entonces no se com...",5,1,1,2,3,3,1283,1,162.98,0
71218,1,Cambio de correo Electronico,7,1,12,2,3,3,1287,1,145.45,0
71221,1,Ocupo ayuda con la cuenta de outlook de mi correo ...,5,1,38,2,3,3,1287,1,134.05,0
71223,1,Plataforma evaluación con rúbricas está lenta y falla frecuentemente,10,1,39,2,3,3,1289,86,278.28,0
71225,1,Problemas de acceso a TEC Digital – estudiante de primer ingreso,5,1,1,2,3,3,1289,1,108.80,0
71226,1,Felipe M 2023026033 Examen problema,5,1,30,2,3,3,1291,1,101.48,0
71227,1,Correo no existe,5,1,38,2,3,3,1291,1,92.65,0
71230,1,Problemas a la hora de ingresar a TEC digital,5,1,1,2,3,3,1293,41,94.70,0
71231,1,Solicitud apertura TEC Digital: EXCEL INTERMEDIO G1 P425,2,1,21,2,3,3,1293,1,72.37,0
71232,1,Problemas de Acceso a Cuenta @estudiantec.cr,5,1,1,2,3,3,1293,1,69.35,0
71234,1,Certificado,2,1,11,2,3,3,1293,1,62.18,0
71239,1,Ayuda para cuenta de profesor,10,1,2,2,3,3,1,1,2.50,1
71240,1,El tec digital tardaba encargar al seleccionar un grupo o una sección de este,5,1,28,2,3,3,1,1,3.23,1
71241,1,Agregar cuentas como profesor asociado en cursos de Tec Digital - I Bimestre 2026,10,1,6,2,3,3,1,1,0.42,1
71242,1,RV: Error al ingresar a la página “tecDigital”,5,1,1,2,3,3,1,1,0.05,1
71243,1,RE: Error al ingresar a la página “tecDigital”,5,1,1,2,3,3,1,1,0.25,1
71244,1,Fwd: Solicitud de apoyo para ingresar a TEC DIGITAL,7,1,5,2,3,3,1,1,2.35,1
71245,1,Solicitud apertura TEC Digital: EXCEL INTERMEDIO G2 P425,2,1,21,2,3,3,1,1,4.02,0
71246,1,Solicitud apertura TEC Digital: POWER BI P126,2,1,21,2,3,3,1,1,3.67,1
71247,1,Aperturar cursos en la plataforma del TEC-Digital I T 2026,10,1,21,2,3,3,1,41,20.40,0
71248,1,"Buenos dias, intente entrar al ITCR y no me deja,…",8,1,1,2,3,3,1,41,19.95,0
71249,1,Cambio de letra,2,1,42,2,3,3,1,41,21.70,0
71250,1,Fw: TEC digital,8,1,1,2,3,3,1,1,0.42,1
71251,1,Solicitud de activación de cuentas en Tec digital,11,1,2,2,3,3,1,41,19.08,0
71252,1,Restablecimiento de número telefónico para Cuenta Fundatec,7,1,14,2,3,3,1,41,21.22,0
71253,1,agregar profesor a curso,1,1,6,6,3,3,1,1,0.00,1
71254,1,TEC DIGITAL,7,1,12,2,3,3,1,52,34.73,0
71256,1,Autenticador,5,1,38,2,3,3,41,41,1.30,1
71257,1,cuentas cursos,1,1,21,2,3,3,41,41,4.73,0
71259,1,Citologías,1,1,26,2,3,3,41,52,24.03,0
71260,1,Cambio de nombre,2,1,12,2,3,3,41,41,4.80,0
71261,1,Solicitud de Homologación de Perfil – Profesor Geovanny Sanabria Brenes,10,1,10,2,3,3,41,41,0.12,1
71262,1,Cambio,2,1,11,2,3,3,41,41,0.65,1
71263,1,Ingreso al TEC Digital (Creación de usuarios),2,1,25,2,3,3,41,52,15.20,0
71264,1,INGRESO BLOQUEADO AL TEC DIGITAL,5,1,1,2,3,3,41,52,12.98,0
71265,1,Consulta sobre admisión primer ingreso 2026,5,1,11,2,3,3,41,52,9.40,0
71267,1,RE: Consulta sobre admisión primer ingreso 2026,5,1,11,2,3,3,52,52,0.17,1
71268,1,agregar a cátedra,5,1,7,6,3,3,52,52,0.00,1
71269,1,Solicitud de apoyo,10,1,7,2,3,3,52,52,1.55,1
71270,1,Solicitud de creación de cursos del Científico,9,4,35,4,2,2,52,64,24.82,0
71271,1,Re: Solicitud de creación de cursos del Científico,4,1,20,2,3,3,52,74,54.17,0
71272,1,problema con la cuenta de microsoft 360,7,1,14,2,3,3,52,52,0.90,1
71273,1,no puedo entrar a mi cuenta de teams 360 y por end...,7,1,11,2,3,3,52,52,0.87,1
71274,1,Trato de ingresar y no puedo,5,1,1,2,3,3,52,52,0.50,1
71275,1,Consulta sobre disponibilidad de la plataforma mañana jueves 22 de enero,10,1,30,2,3,3,52,74,43.55,0
71276,1,Acceso Catedra Cálculo y Álgebra Lineal,5,1,7,2,3,3,52,52,0.42,1
71277,1,Error en grupos asignados del Colegio Científico,10,1,6,2,3,3,52,64,16.58,0
71278,1,RV: Sobre usario en Tec Digital,2,1,12,2,3,3,52,64,16.67,0
71279,1,Solicitud de acceso a Turnitin,10,1,18,2,3,3,52,64,15.67,0
71281,1,Aparentes inconsistencias en el Gestor de Atributos,10,1,31,2,3,3,64,185,314.57,0
71282,1,Solicitud de permisos y activación de cuenta al TEC Digital,1,1,2,2,3,3,64,64,4.20,0
71284,1,Solicitud de Asistencias estudiantiles IS-2026,1,1,26,2,3,3,64,74,24.80,0
71285,1,Cursos para el Colegio Científico,4,1,6,2,3,3,64,64,2.68,1
71286,1,Cambio de letra,2,1,11,2,3,3,64,64,1.98,1
71287,1,Re: Solicitud de acceso al TEC DIGITAL,3,1,10,2,3,3,64,74,30.90,0
71288,1,Cambio de profesor en curso,4,1,25,2,3,3,64,74,22.97,0
71289,1,RE: Acceso a TEC Digital,1,1,5,2,3,3,64,64,0.58,1
71290,1,agregar a comunidad,5,1,7,6,3,3,64,64,0.00,1
71291,1,agregar a comunidad,5,1,7,6,3,3,64,64,0.00,1
71292,1,Información de matricula segundo bimestre Maestria en Adm ing electromecánica,8,1,11,2,3,3,64,74,11.42,0
71293,1,Reactivación cuenta estudiantil,5,1,11,2,3,3,64,74,12.07,0
71294,1,Recuperar mi cuenta,8,1,1,2,3,3,64,74,12.05,0
71296,1,Problema de inicio de sesion al tec digital,8,1,1,2,3,3,74,74,1.23,1
71297,1,Ingreso al TEC Digital (Creación de usuarios),10,1,25,2,3,3,74,74,0.17,1
71298,1,Consulta,2,1,21,2,3,3,74,74,2.03,1
71299,1,Ingreso al TEC Digital (Creación de usuarios),10,1,5,2,3,3,74,74,0.38,1
71300,1,Aperturar cursos en la plataforma del TEC-Digital I T 2026,2,1,21,2,3,3,74,121,115.48,0
71301,1,Acceso a TEC-Digital,1,1,5,2,3,3,74,104,95.80,0
71302,1,cambio de correo estudiante,1,1,12,2,3,3,74,86,65.87,0
71304,1,Desbloqueo cuenta estudiantec,8,1,38,2,3,3,1349,86,43.47,0
71307,1,Solicitud de creación de grupo - Programa de Ciencia de los Datos,1,1,21,2,3,3,1350,86,21.75,0
71308,1,Re: [Centro de Ayuda del TEC Digital] Re: Fwd: Solicitud de apoyo para ingresar a TEC DIGITAL,7,1,5,2,3,3,86,86,14.00,0
71309,1,Ayuda con quiz en GAAP,11,1,30,2,3,3,86,86,1.62,1
71311,1,RV: Problema de registro,1,5,29,2,3,3,86,86,0.38,1
71312,1,RV: Problemas con email,5,5,38,2,3,3,86,86,0.37,1
71313,1,RV: Acceso a correo de estudiante,5,5,1,2,3,3,86,86,0.33,1
71314,1,RV: CORREO ESTUDIANTEC.CR,5,5,1,2,3,3,86,86,0.27,1
71315,1,Ingreso al TEC Digital (Creación de usuarios),2,1,21,2,3,3,86,86,0.33,1
71316,1,Ayuda para sincronización de cursos y consulta,10,1,5,2,3,3,86,86,0.68,1
71317,1,Consulta,8,1,11,2,3,3,86,86,0.67,1
71318,1,ERROR AL CARGAR ARCHIVOS,7,1,28,2,3,3,86,86,0.48,1
71319,1,Acceso a cátedra de Cálculo y Álgebra Lineal,5,1,7,2,3,3,86,86,0.05,1
71320,1,Problema acceso TEC Digital estudiantes Tercera Promoción Maestría Desarrollo Económico Local,3,1,5,2,3,3,86,86,1.00,1
71321,1,Asignación de cursos a profesores,10,1,6,2,3,3,86,104,23.10,0
71322,1,RE: INGRESO DE DANIEL SOLANO MORALES - TEC DIGITAL,5,1,1,2,3,3,86,145,95.08,0
71323,1,Incluir estudiantes en curso Principios de programación II,5,1,9,2,3,3,86,86,2.03,1
71324,1,Consulta para matricula.,8,1,11,2,3,3,86,86,0.05,1
71325,1,Restauración de cuenta @estudiantec. Josué Zamora Arce. 120180186.,5,1,11,2,3,3,86,86,0.32,1
71326,1,Expediente Estudiantil,8,1,29,6,3,3,86,86,0.08,1
71327,1,Matrícula,5,1,5,2,3,3,86,86,0.12,1
71328,1,Corrección de nombre en la plataforma,5,1,12,2,3,3,86,104,16.55,0
71329,1,solicitud,1,1,22,2,3,3,104,104,6.70,0
71331,1,Soporte,1,1,6,2,3,3,104,104,0.12,1
71332,1,Ingreso a correo institucional,5,1,38,2,3,3,104,104,1.83,1
