ID;Estado;Asunto;Solicitado;Resuelto;Rol de usuario;Agente de soporte;Servicio relacionado;Canal;Tipo;Prioridad
72543;Resuelto;Solicitud de cambio de curso por Ampliación de Jornada en plan de trabajo Pro. Néstor Morales Rodríguez;46140,63125;46154,61458;Administrativo;Carlos Calvo;Planes de Trabajo;Correo;Solicitud;Normal
72616;Resuelto;Arreglo de nombre;46149,56736;46153,37292;Administrativo FundaTEC;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
72620;Resuelto;RV: Falla en acceso a curso en Tec digital;46150,46875;46153,44167;Estudiante;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
72621;Resuelto;Consulta sobre cuenta de técnico digital;46150,67153;46153,36736;Estudiante;Carlos Calvo;Expediente estudiantil;Correo;Solicitud;Normal
72622;Resuelto;Consulta sobre visibilidad de rúbrica en asignación “Proyecto parte eléctrica”;46150,72431;46153,37569;Estudiante;Carlos Calvo;Rúbricas;Correo;Solicitud;Normal
72623;Resuelto;Solicitud de reporte de carga de asignación – Contabilidad II;46150,72431;46153,39514;Estudiante;Carlos Calvo;Evaluaciones;Correo;Solicitud;Normal
72627;Resuelto;Problema de Ingreso TEC Digital;46152,67153;46153,37847;Externo;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
72628;Resuelto;Acceso al Tec Digital;46152,68681;46153,38125;Profesor;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
72629;Resuelto;Problema al descargar archivo .;46152,85278;46153,38889;Estudiante;Carlos Calvo;Evaluaciones;Correo;Solicitud;Normal
72631;Resuelto;incluir estudiante;46153,35903;46153,39097;Estudiante;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
72632;Resuelto;correo incorrecto;46153,39097;46153,54931;Estudiante;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
72633;Resuelto;Invitación a reunión informativa sobre becas para estudiar en Estados Unidos;46153,41944;46153,46042;Administrativo;Carlos Calvo;Envío de comunicados a lista seleccionada;Correo;Solicitud;Normal
72634;Resuelto;Solicitud de divulgación Invitación a reunión informativa sobre becas para estudiar en Estados Unidos;46153,42569;46153,44306;Administrativo;Carlos Calvo;Envío de comunicados a lista seleccionada;Correo;Solicitud;Normal
72635;Resuelto;Fwd: Reactivación de estudiante KEREN MONTERO VARGAS - correo, Teams y Tec Digital;46153,45;46155,32083;Estudiante;Carlos Calvo;Activar cuentas de usuario;Correo;Solicitud;Normal
72637;Resuelto;Solicitud 72622;46153,46875;46153,47083;Estudiante;Carlos Calvo;Rúbricas;Correo;Solicitud;Normal
72639;Resuelto;Error de acceso OneDrive curso seguridad;46153,52569;46153,55486;Estudiante;Mariana Mora;Atención personalizada a usuarios;Correo;Solicitud;Normal
72641;Resuelto;Solicitud divulgación información;46153,54167;46154,32083;Administrativo;Carlos Calvo;Envío de comunicados a lista seleccionada;Correo;Solicitud;Normal
72642;Resuelto;Por favor habilitar II Cuatrimestre 2026 Maestría en Calidad;46153,58403;46154,39306;Administrativo;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
72643;Resuelto;RV: Correccion del nombre en la plataforma TEC Digital y Office;46153,60417;46153,61597;Estudiante;Carlos Calvo;Cambiar información personal;Correo;Solicitud;Normal
72644;Resuelto;Cuenta perdida;46153,61667;46153,63264;Estudiante;Mariana Mora;Atención personalizada a usuarios;Correo;Solicitud;Normal
72647;Resuelto;Apertura curso Power BI en el TEC-Digital;46153,71736;46154,33056;Administrativo FundaTEC;Mariana Mora;Creación cursos FundaTEC;Correo;Solicitud;Normal
72649;Resuelto;Cobro curso de excel;46153,73472;46154,39444;Estudiante FundaTEC;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
72650;Resuelto;Acceso a Tec-Digital;46153,76389;46154,37917;Profesor;Mariana Mora;Activar cuentas de usuario;Correo;Solicitud;Normal
72651;Resuelto;Ayuda cuenta bloqueada;46153,76944;46154,34306;Estudiante;Mariana Mora;Atención personalizada a usuarios;Correo;Solicitud;Normal
72652;Resuelto;No hay cursos en la plataforma digital;46153,77986;46154,34653;Estudiante FundaTEC;Mariana Mora;Atención personalizada a usuarios;Formulario web;Solicitud;Normal
72654;Resuelto;Solicitud de restauración de miembros de curso;46154,31944;46154,35069;Profesor;Mariana Mora;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
72655;Resuelto;Corrección de horario;46154,33958;46154,38472;Administrativo FundaTEC;Mariana Mora;Atención personalizada a usuarios;Correo;Solicitud;Normal
72656;Resuelto;Consulta acceso;46154,39931;46154,40208;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
72657;Resuelto;Ayuda cuenta TEC Digital;46154,46181;46154,46736;Administrativo;Carlos Calvo;Activar cuentas de usuario;Correo;Solicitud;Normal
72658;Resuelto;Consulta;46154,46458;46154,46944;Estudiante FundaTEC;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
72659;Resuelto;Cuenta bloqueada;46154,52569;46154,56319;Externo;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
72660;Resuelto;Cambio de horario;46154,61736;46154,62431;Administrativo FundaTEC;Carlos Calvo;Configuración de Comunidades/Cursos;Correo;Solicitud;Normal
72661;Resuelto;Consulta;46154,63333;46155,37153;Profesor;Jimena Rivera;Evaluaciones;Correo;Solicitud;Normal
72662;Resuelto;RE: Incorporación a Equipo Teams Curso Maestría en Cadena de Abastecimiento;46154,63472;46154,66944;Profesor;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
72663;Resuelto;Solicitud de traslado de curso | SE1103 Danza Grupo 40;46154,64861;46155,31944;Administrativo;Jimena Rivera;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
72665;Resuelto;RE: Solicitud de traslado de curso | SE1103 Danza Grupo 40;46154,67639;46154,67986;Administrativo;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
72666;Resuelto;Re: Incorporación a Equipo Teams Curso Maestría en Cadena de Abastecimiento;46154,67917;46154,68125;Administrativo;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
72667;Resuelto;Por favor brindar apoyo a profesora no observa el grupo en el tecdigital, gracias;46154,69306;46155,35139;Administrativo;Jimena Rivera;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
72668;Resuelto;Correo inactivo;46154,83472;46155,35278;Estudiante FundaTEC;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
72669;Resuelto;Re: Solicitud de traslado de curso | SE1103 Danza Grupo 40;46154,97361;46155,31944;Profesor;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
72671;Resuelto;Cambio de letra;46155,42292;46155,43333;Administrativo FundaTEC;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
72640;Pendiente;Solicitud de validación de entrega en TEC Digital;46153,52778;;Estudiante;Carlos Calvo;Evaluaciones;Correo;Solicitud;Normal
72638;Nuevo;Corrección nombre TEC digital;46153,51806;;Estudiante;;;;;'-
72672;Nuevo;Solicitud de restablecimiento de contraseña de cuenta Estudiantec;46155,43889;;;;;Correo;;'-
71034;Cerrado;Solicitud de colaboración para la elección de los representantes ante el Consejo Institucional 2026;45995,69722;46091,46042;Administrativo;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71090;Cerrado;Fw: Consulta de contraseña de TEC DIGITAL;46006,47292;46041,42361;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71093;Cerrado;Solicitud para publicar Noticia requerimiento PERSONAS TUTORAS DOP I-2026;46006,67917;46050,66389;Administrativo;Carlos Calvo;Envío de comunicados a comunidades;Correo;Solicitud;Alta
71107;Cerrado;Solicitud de ingreso por primera vez a Turnitin;46007,43056;46041,44375;Profesor;Carlos Calvo;Control de plagio;Correo;Solicitud;Normal
71151;Cerrado;RE: Solicitud;46009,48125;46049,66181;Administrativo;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71169;Cerrado;Revisión lista estudiantes;46013,5625;46041,56319;Estudiante;Carlos Calvo;Agregar/cambiar asociación de estudiante a curso;Correo;Solicitud;Normal
71179;Cerrado;Re: Solicitud;46020,42083;46041,62431;Externo;Carlos Calvo;Atención personalizada a usuarios;Correo;Solicitud;Normal
71180;Cerrado;Consulta;46020,54167;46041,57014;;;;;;Urgente
71181;Cerrado;Permisos;46020,74583;46041,57083;;;;;;Urgente
71183;Cerrado;acceso Tec Digital;46021,60903;46041,57153;Profesor;;;Correo;;Alta
71189;Cerrado;Problemas con los datos de inicio de sesión de mi cuenta de Tec Digital;46024,55139;46042,31319;Externo;Carlos Calvo;Problemas con correos;Correo;Solicitud;Normal
71190;Cerrado;Autenticación;46025,44306;46041,56597;Estudiante;Carlos Calvo;Problemas con correos;Correo;Solicitud;Normal
71192;Cerrado;TEC digital;46025,60417;46041,56528;;;;;;Urgente
71195;Cerrado;Urgente;46027,32569;46041,56458;Administrativo FundaTEC;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71196;Cerrado;Agregar cuentas como profesor asociado en cursos de Tec Digital - I Bimestre 2026;46027,36458;46041,49931;Profesor;Carlos Calvo;Agregar/cambiar asociación de profesor a curso;Correo;Solicitud;Normal
71197;Cerrado;Problemas para entrar al TEC digital;46027,51944;46041,49306;Estudiante;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71198;Cerrado;Cambio de numero;46027,51944;46041,49167;Estudiante;Carlos Calvo;Solicitud de información de la plataforma;Correo;Solicitud;Normal
71199;Cerrado;Problemas con la cuenta estudiantil para ingresar a TecDigital;46027,56528;46041,48819;;;;;;Urgente
71200;Cerrado;Error al ingresar a TEC Digital;46027,56597;46041,49028;Externo;Carlos Calvo;Acceso a la plataforma TEC Digital;Correo;Solicitud;Normal
71201;Cerrado;acceso Tec Digital;46027,66319;46041,4875;Profesor;;;Correo;;Urgente
71203;Cerrado;Fw: TEC digital;46028,83056;46041,57986;;;;;;Urgente
71205;Cerrado;Consulta problema con correo TEC;46029,38472;46041,48542;Estudiante;Carlos Calvo;Problemas con correos;Correo;Solicitud;Normal
71206;Cerrado;RV: acceso Tec Digital;46029,67431;46042,66458;Administrativo FundaTEC;Carlos Calvo;Creación cursos FundaTEC;Correo;Solicitud;Normal
