id_ticket,asunto,fk_fecha_solicitud,fk_fecha_resuelto,fk_usuario,fk_agente,fk_servicio,fk_canal,fk_tipo,fk_prioridad,fk_estado
72543,Solicitud de cambio de curso por Ampliación de Jornada en plan de trabajo Pro. Néstor Morales Rodríguez,1175,1247.0,1,1,36,2,3,3,4
72616,Arreglo de nombre,1237,1217.0,2,1,12,2,3,3,4
72620,RV: Falla en acceso a curso en Tec digital,1240,1224.0,5,1,11,2,3,3,4
72621,Consulta sobre cuenta de técnico digital,1241,1216.0,5,1,29,2,3,3,4
72622,Consulta sobre visibilidad de rúbrica en asignación Proyecto parte eléctrica,1242,1218.0,5,1,39,2,3,3,4
72623,Solicitud de reporte de carga de asignación  Contabilidad II,1242,1223.0,5,1,28,2,3,3,4
72627,Problema de Ingreso TEC Digital,1243,1219.0,8,1,1,2,3,3,4
72628,Acceso al Tec Digital,1244,1220.0,10,1,1,2,3,3,4
72629,Problema al descargar archivo .,1245,1221.0,5,1,28,2,3,3,4
72631,incluir estudiante,1246,1222.0,5,1,5,2,3,3,4
72632,correo incorrecto,1247,1228.0,5,1,12,2,3,3,4
72633,Invitación a reunión informativa sobre becas para estudiar en Estados Unidos,1248,1226.0,1,1,27,2,3,3,4
72634,Solicitud de divulgación Invitación a reunión informativa sobre becas para estudiar en Estados Unidos,1249,1225.0,1,1,27,2,3,3,4
72635,"Fwd: Reactivación de estudiante KEREN MONTERO VARGAS - correo, Teams y Tec Digital",1250,1254.0,5,1,2,2,3,3,4
72637,Solicitud 72622,1251,1227.0,5,1,39,2,3,3,4
72639,Error de acceso OneDrive curso seguridad,1253,1229.0,5,3,11,2,3,3,4
72641,Solicitud divulgación información,1255,1233.0,1,1,27,2,3,3,4
72642,Por favor habilitar II Cuatrimestre 2026 Maestría en Calidad,1256,1241.0,1,1,6,2,3,3,4
72643,RV: Correccion del nombre en la plataforma TEC Digital y Office,1257,1230.0,5,1,12,2,3,3,4
72644,Cuenta perdida,1258,1231.0,5,3,11,2,3,3,4
72647,Apertura curso Power BI en el TEC-Digital,1260,1234.0,2,3,21,2,3,3,4
72649,Cobro curso de excel,1262,1242.0,7,1,11,2,3,3,4
72650,Acceso a Tec-Digital,1263,1239.0,10,3,2,2,3,3,4
72651,Ayuda cuenta bloqueada,1264,1236.0,5,3,11,2,3,3,4
72652,No hay cursos en la plataforma digital,1265,1237.0,7,3,11,3,3,3,4
72654,Solicitud de restauración de miembros de curso,1266,1238.0,10,3,5,2,3,3,4
72655,Corrección de horario,1267,1240.0,2,3,11,2,3,3,4
72656,Consulta acceso,1268,1243.0,5,1,1,2,3,3,4
72657,Ayuda cuenta TEC Digital,1269,1244.0,1,1,2,2,3,3,4
72658,Consulta,1270,1245.0,7,1,11,2,3,3,4
72659,Cuenta bloqueada,1271,1246.0,8,1,1,2,3,3,4
72660,Cambio de horario,1272,1248.0,2,1,17,2,3,3,4
72661,Consulta,1273,1257.0,10,2,28,2,3,3,4
72662,RE: Incorporación a Equipo Teams Curso Maestría en Cadena de Abastecimiento,1274,1250.0,10,1,6,2,3,3,4
72663,Solicitud de traslado de curso | SE1103 Danza Grupo 40,1275,1253.0,1,2,6,2,3,3,4
72665,RE: Solicitud de traslado de curso | SE1103 Danza Grupo 40,1277,1251.0,1,1,6,2,3,3,4
72666,Re: Incorporación a Equipo Teams Curso Maestría en Cadena de Abastecimiento,1278,1252.0,1,1,6,2,3,3,4
72667,"Por favor brindar apoyo a profesora no observa el grupo en el tecdigital, gracias",1279,1255.0,1,2,6,2,3,3,4
72668,Correo inactivo,1280,1256.0,7,1,1,2,3,3,4
72669,Re: Solicitud de traslado de curso | SE1103 Danza Grupo 40,1281,1253.0,10,1,6,2,3,3,4
72671,Cambio de letra,1282,1258.0,2,1,11,2,3,3,4
72640,Solicitud de validación de entrega en TEC Digital,1254,,5,1,28,2,3,3,3
72638,Corrección nombre TEC digital,1252,,5,4,35,4,2,2,2
72672,Solicitud de restablecimiento de contraseña de cuenta Estudiantec,1283,,9,4,35,2,2,2,2
71034,Solicitud de colaboración para la elección de los representantes ante el Consejo Institucional 2026,1,780.0,1,1,11,2,3,3,1
71090,Fw: Consulta de contraseña de TEC DIGITAL,2,7.0,5,1,1,2,3,3,1
71093,Solicitud para publicar Noticia requerimiento PERSONAS TUTORAS DOP I-2026,3,130.0,1,1,26,2,3,1,1
71107,Solicitud de ingreso por primera vez a Turnitin,4,8.0,10,1,18,2,3,3,1
71151,RE: Solicitud,5,118.0,1,1,11,2,3,3,1
71169,Revisión lista estudiantes,6,28.0,5,1,5,2,3,3,1
71179,Re: Solicitud,7,39.0,8,1,11,2,3,3,1
71180,Consulta,8,32.0,9,4,35,4,2,4,1
71181,Permisos,9,33.0,9,4,35,4,2,4,1
71183,acceso Tec Digital,10,34.0,10,4,35,2,2,1,1
71189,Problemas con los datos de inicio de sesión de mi cuenta de Tec Digital,11,41.0,8,1,38,2,3,3,1
71190,Autenticación,12,31.0,5,1,38,2,3,3,1
71192,TEC digital,13,30.0,9,4,35,4,2,4,1
71195,Urgente,14,29.0,2,1,1,2,3,3,1
71196,Agregar cuentas como profesor asociado en cursos de Tec Digital - I Bimestre 2026,15,26.0,10,1,6,2,3,3,1
71197,Problemas para entrar al TEC digital,16,25.0,5,1,1,2,3,3,1
71198,Cambio de numero,16,24.0,5,1,42,2,3,3,1
71199,Problemas con la cuenta estudiantil para ingresar a TecDigital,17,22.0,9,4,35,4,2,4,1
71200,Error al ingresar a TEC Digital,18,23.0,8,1,1,2,3,3,1
71201,acceso Tec Digital,19,21.0,10,4,35,2,2,4,1
71203,Fw: TEC digital,20,35.0,9,4,35,4,2,4,1
71205,Consulta problema con correo TEC,21,20.0,5,1,38,2,3,3,1
71206,RV: acceso Tec Digital,22,50.0,2,1,21,2,3,3,1
71208,Constancia de Estudio para Visa Americana,23,17.0,5,1,11,2,3,3,1
71210,Corregir apellido en plataforma,24,19.0,7,1,12,2,3,3,1
71213,Re: [Centro de Ayuda del TEC Digital] Re: Reporte de notas aprobadas,25,36.0,8,1,29,6,3,3,1
71214,Acceso al TEC Digital,26,14.0,7,1,25,2,3,3,1
71215,Solicitud de apoyo para ingresar a TEC DIGITAL,27,13.0,9,4,35,2,2,4,1
71216,"Buenas tardes mi nombres es Matías Sibaja Solís, soy estudiante de nuevo ingreso y estaba intentando ingresar al Tec digital y no me deja y cambie la contraseña y tampoco me deja entonces no se com...",28,12.0,5,1,1,2,3,3,1
71218,Cambio de correo Electronico,29,18.0,7,1,12,2,3,3,1
71221,Ocupo ayuda con la cuenta de outlook de mi correo ...,30,11.0,5,1,38,2,3,3,1
71223,Plataforma evaluación con rúbricas está lenta y falla frecuentemente,31,91.0,10,1,39,2,3,3,1
71225,Problemas de acceso a TEC Digital  estudiante de primer ingreso,32,10.0,5,1,1,2,3,3,1
71226,Felipe M 2023026033 Examen problema,33,39.0,5,1,30,2,3,3,1
71227,Correo no existe,34,9.0,5,1,38,2,3,3,1
71230,Problemas a la hora de ingresar a TEC digital,35,42.0,5,1,1,2,3,3,1
71231,Solicitud apertura TEC Digital: EXCEL INTERMEDIO G1 P425,36,4.0,2,1,21,2,3,3,1
71232,Problemas de Acceso a Cuenta @estudiantec.cr,37,16.0,5,1,1,2,3,3,1
71234,Certificado,38,2.0,2,1,11,2,3,3,1
71239,Ayuda para cuenta de profesor,39,6.0,10,1,2,2,3,3,1
71240,El tec digital tardaba encargar al seleccionar un grupo o una sección de este,40,15.0,5,1,28,2,3,3,1
71241,Agregar cuentas como profesor asociado en cursos de Tec Digital - I Bimestre 2026,41,1.0,10,1,6,2,3,3,1
71242,RV: Error al ingresar a la página tecDigital,42,3.0,5,1,1,2,3,3,1
71243,RE: Error al ingresar a la página tecDigital,43,5.0,5,1,1,2,3,3,1
71244,Fwd: Solicitud de apoyo para ingresar a TEC DIGITAL,44,27.0,7,1,5,2,3,3,1
71245,Solicitud apertura TEC Digital: EXCEL INTERMEDIO G2 P425,45,38.0,2,1,21,2,3,3,1
71246,Solicitud apertura TEC Digital: POWER BI P126,46,38.0,2,1,21,2,3,3,1
71247,Aperturar cursos en la plataforma del TEC-Digital I T 2026,47,44.0,10,1,21,2,3,3,1
71248,"Buenos dias, intente entrar al ITCR y no me deja,",48,43.0,8,1,1,2,3,3,1
71249,Cambio de letra,49,46.0,2,1,42,2,3,3,1
71250,Fw: TEC digital,50,37.0,8,1,1,2,3,3,1
71251,Solicitud de activación de cuentas en Tec digital,51,45.0,11,1,2,2,3,3,1
71252,Restablecimiento de número telefónico para Cuenta Fundatec,52,47.0,7,1,14,2,3,3,1
71253,agregar profesor a curso,53,40.0,1,1,6,6,3,3,1
71254,TEC DIGITAL,54,53.0,7,1,12,2,3,3,1
71256,Autenticador,55,46.0,5,1,38,2,3,3,1
71257,cuentas cursos,56,47.0,1,1,21,2,3,3,1
71259,Citologías,57,57.0,1,1,26,2,3,3,1
71260,Cambio de nombre,58,48.0,2,1,12,2,3,3,1
71261,Solicitud de Homologación de Perfil  Profesor Geovanny Sanabria Brenes,59,49.0,10,1,10,2,3,3,1
71262,Cambio,60,51.0,2,1,11,2,3,3,1
71263,Ingreso al TEC Digital (Creación de usuarios),61,52.0,2,1,25,2,3,3,1
71264,INGRESO BLOQUEADO AL TEC DIGITAL,62,54.0,5,1,1,2,3,3,1
71265,Consulta sobre admisión primer ingreso 2026,63,55.0,5,1,11,2,3,3,1
71267,RE: Consulta sobre admisión primer ingreso 2026,64,56.0,5,1,11,2,3,3,1
71268,agregar a cátedra,65,58.0,5,1,7,6,3,3,1
71269,Solicitud de apoyo,66,59.0,10,1,7,2,3,3,1
71270,Solicitud de creación de cursos del Científico,67,64.0,9,4,35,4,2,2,1
